Name,Age,Field,Specialization,Skills,Experience Level,Years of Experience
Aaliyah Green,30,Marketing,Digital Marketing Specialist,"Search Engine Optimization (SEO),Email Marketing,Brand Management,Visual Communications,Consumer Psychology",Entry,0
Richard Oliveira,38,Computer Science,UI/UX Designer,"Cybersecurity,TensorFlow,Flutter,Cryptography,Data Science,C++,Kubernetes,Angular,Teamwork",Senior,12
Jing Gonzalez,31,Finance,Investment Banker,"Deal Structuring,Financial Modeling,Portfolio Construction,Capital Markets,Teamwork,Time Management,Problem Solving",Mid,7
Abdul Santos,29,Marketing,Brand Manager,"Visual Communications,Product Positioning,Email Marketing,Brand Strategy,Teamwork,Problem Solving,Leadership",Entry-Mid,4
Li Thomas,27,Finance,Investment Banker,"Pitch Book Creation,Client Relationship Management,Financial Modeling,Regulatory Compliance,Alternative Investments,Investment Strategy,Mergers & Acquisitions,Due Diligence,Communication",Entry-Mid,5
Sarah Taylor,33,Finance,Risk Manager,"Financial Modeling,Capital Markets,Market Analysis,Portfolio Construction,Alternative Investments,Valuation,Performance Attribution,Client Communication,Communication,Leadership,Time Management",Mid-Senior,10
Leila Anderson,35,Finance,Risk Manager,"Capital Markets,Portfolio Construction,Asset Allocation",Senior,24
Mary Hall,28,Computer Science,Game Developer,"JavaScript,Machine Learning,Java,Angular,Kubernetes,Deep Learning,Communication",Entry-Mid,4
David White,34,Marketing,Market Research Analyst,"Social Media Marketing,Consumer Behavior,Campaign Management,Product Positioning,Problem Solving,Leadership,Teamwork",Mid-Senior,8
Mustafa Smirnov,25,Computer Science,Data Scientist,"C++,Flutter,Data Science,C#,Cybersecurity",Entry-Mid,4
Mary Davis,45,Marketing,Brand Manager,"Campaign Management,Email Marketing,Marketing Automation,Consumer Psychology,Problem Solving",Senior,21
Yan Costa,24,Finance,Investment Banker,"Asset Allocation,Excel Proficiency,Market Analysis,Investment Strategy,Project Management,Communication",Entry,2
Elizabeth Shah,25,Finance,Risk Manager,"Pitch Book Creation,Market Analysis,Risk Management,Asset Allocation,Time Management,Teamwork",Entry-Mid,4
Na Al-Saadi,30,Marketing,Market Research Analyst,"Creative Direction,Consumer Psychology,Visual Communications,Presentation Skills,Consumer Behavior,Google Analytics,Search Engine Optimization (SEO),Critical Thinking,Project Management",Entry-Mid,5
Samira Carvalho,29,Marketing,Digital Marketing Specialist,"Social Media Marketing,Competitor Analysis,Consumer Psychology,Creative Direction",Entry-Mid,2
Elizabeth Wilson,35,Finance,Investment Banker,"Performance Attribution,Financial Statement Analysis,Due Diligence,Regulatory Compliance,Valuation,Risk Management,Mergers & Acquisitions,Time Management,Leadership,Teamwork",Mid,6
Maryam Jones,23,Marketing,Market Research Analyst,"Content Marketing,Creative Direction,Paid Advertising,Social Media Marketing,Email Marketing,Consumer Psychology,Presentation Skills,Communication",Entry,2
